"dispatch","datetime.1","datetime.2","datetime.3","datetime.4","datetime.5","datetime.6","datetime.7","datetime.8","datetime.9","datetime.10","datetime.11","datetime.12","datetime.13","datetime.14","datetime.15","datetime.16","datetime.17","datetime.18","datetime.19","datetime.20","datetime.21","datetime.22","datetime.23","datetime.24","datetime.25","datetime.26","datetime.27","datetime.28","datetime.29","datetime.30","datetime.31","datetime.32","datetime.33","datetime.34","datetime.35","datetime.36","datetime.37","datetime.38","datetime.39","datetime.40","datetime.41","datetime.42","datetime.43","datetime.44","datetime.45","datetime.46","datetime.47","datetime.48","datetime.49","datetime.50","datetime.51","datetime.52","datetime.53","datetime.54","datetime.55","datetime.56","datetime.57","datetime.58","datetime.59","datetime.60","datetime.61","datetime.62","datetime.63","datetime.64","datetime.65","datetime.66","datetime.67","datetime.68","datetime.69","datetime.70","datetime.71","datetime.72","datetime.73","datetime.74","datetime.75","datetime.76","datetime.77","datetime.78","datetime.79","datetime.80","datetime.81","datetime.82","datetime.83","datetime.84","datetime.85","datetime.86","datetime.87","datetime.88","datetime.89","datetime.90","datetime.91","datetime.92","datetime.93","datetime.94","datetime.95","datetime.96","datetime.97","datetime.98","datetime.99","datetime.100","datetime.101"
1,2022-10-24 04:33:47,2022-10-24 04:34:17,2022-10-24 04:36:47,2022-10-24 04:38:02,2022-10-24 04:40:02,2022-10-24 04:41:32,2022-10-24 04:42:32,2022-10-24 04:43:32,2022-10-24 04:46:45,2022-10-24 04:49:17,2022-10-24 04:51:47,2022-10-24 04:53:31,2022-10-24 04:54:31,2022-10-24 04:55:16,2022-10-24 04:55:31,2022-10-24 05:00:31,2022-10-24 05:03:01,2022-10-24 05:03:31,2022-10-24 05:09:16,2022-10-24 05:10:03,2022-10-24 05:11:46,2022-10-24 05:12:01,2022-10-24 05:13:46,2022-10-24 05:14:16,2022-10-24 05:14:46,2022-10-24 05:17:46,2022-10-24 05:19:46,2022-10-24 05:20:16,2022-10-24 05:20:46,2022-10-24 05:23:16,2022-10-24 05:24:01,2022-10-24 05:25:16,2022-10-24 05:27:16,2022-10-24 05:28:01,2022-10-24 05:29:31,2022-10-24 05:33:16,2022-10-24 05:33:31,2022-10-24 05:35:46,2022-10-24 05:38:16,2022-10-24 05:39:31,2022-10-24 05:42:01,2022-10-24 05:43:46,2022-10-24 05:45:46,2022-10-24 05:48:31,2022-10-24 05:49:31,2022-10-24 05:51:31,2022-10-24 05:53:16,2022-10-24 05:55:46,2022-10-24 05:56:16,2022-10-24 05:58:01,2022-10-24 05:59:31,2022-10-24 06:01:16,2022-10-24 06:03:16,2022-10-24 06:13:46,2022-10-24 06:15:17,2022-10-24 06:17:46,2022-10-24 06:19:31,2022-10-24 06:20:46,2022-10-24 06:23:16,2022-10-24 06:24:31,2022-10-24 06:26:46,2022-10-24 06:30:16,2022-10-24 06:53:46,2022-10-24 07:04:00,2022-10-24 07:15:02,2022-10-24 07:19:02,2022-10-24 07:21:16,2022-10-24 07:23:01,2022-10-24 07:24:16,2022-10-24 07:26:46,2022-10-24 07:27:46,2022-10-24 07:30:16,2022-10-24 07:32:01,2022-10-24 07:32:46,2022-10-24 07:34:16,2022-10-24 07:35:02,2022-10-24 07:38:31,2022-10-24 07:42:20,2022-10-24 07:43:01,2022-10-24 07:45:16,2022-10-24 07:45:46,2022-10-24 07:48:46,2022-10-24 07:49:31,2022-10-24 07:50:16,2022-10-24 07:55:31,2022-10-24 07:56:01,2022-10-24 07:58:02,2022-10-24 08:02:32,2022-10-24 08:03:31,2022-10-24 08:04:02,2022-10-24 08:06:32,2022-10-24 08:07:46,2022-10-24 08:11:00,2022-10-24 08:14:00,2022-10-24 08:17:17,2022-10-24 08:18:32,2022-10-24 08:19:32,2022-10-24 08:21:31,2022-10-24 08:22:46,2022-10-24 08:23:46,2022-10-24 08:25:31
2,2022-10-24 05:00:31,2022-10-24 05:03:46,2022-10-24 05:07:01,2022-10-24 05:08:31,2022-10-24 05:11:02,2022-10-24 05:13:16,2022-10-24 05:14:16,2022-10-24 05:15:31,2022-10-24 05:19:31,2022-10-24 05:23:01,2022-10-24 05:26:16,2022-10-24 05:28:01,NA,2022-10-24 05:31:46,2022-10-24 05:32:02,2022-10-24 05:35:01,2022-10-24 05:35:46,2022-10-24 05:38:01,2022-10-24 05:44:46,2022-10-24 05:45:46,2022-10-24 05:47:31,2022-10-24 05:47:46,2022-10-24 05:48:31,2022-10-24 05:49:01,2022-10-24 05:51:02,2022-10-24 05:52:01,2022-10-24 05:54:01,2022-10-24 05:54:31,2022-10-24 05:55:01,2022-10-24 05:57:16,2022-10-24 05:58:01,2022-10-24 05:59:01,2022-10-24 06:00:16,2022-10-24 06:00:46,2022-10-24 06:02:16,2022-10-24 06:03:46,2022-10-24 06:06:01,2022-10-24 06:08:31,2022-10-24 06:11:16,2022-10-24 06:12:31,2022-10-24 06:15:32,2022-10-24 06:17:32,2022-10-24 06:19:46,2022-10-24 06:22:31,2022-10-24 06:23:32,2022-10-24 06:26:31,2022-10-24 06:28:16,2022-10-24 06:30:46,2022-10-24 06:31:16,2022-10-24 06:33:02,2022-10-24 06:34:46,2022-10-24 06:35:31,2022-10-24 06:38:16,2022-10-24 06:44:16,2022-10-24 06:46:31,2022-10-24 06:49:01,2022-10-24 06:50:32,2022-10-24 06:52:01,2022-10-24 06:54:16,2022-10-24 06:55:31,2022-10-24 06:57:31,2022-10-24 07:10:16,2022-10-24 07:29:31,2022-10-24 07:34:16,2022-10-24 07:42:46,2022-10-24 07:45:01,2022-10-24 07:48:01,2022-10-24 07:52:32,2022-10-24 07:53:46,2022-10-24 07:58:32,2022-10-24 07:59:16,2022-10-24 08:00:47,2022-10-24 08:02:32,2022-10-24 08:04:02,2022-10-24 08:04:46,2022-10-24 08:05:16,2022-10-24 08:07:01,2022-10-24 08:09:15,2022-10-24 08:09:30,2022-10-24 08:10:00,2022-10-24 08:12:17,2022-10-24 08:13:15,2022-10-24 08:14:00,2022-10-24 08:17:47,2022-10-24 08:23:31,2022-10-24 08:26:16,2022-10-24 08:27:31,2022-10-24 08:30:47,2022-10-24 08:31:46,2022-10-24 08:32:46,2022-10-24 08:34:46,2022-10-24 08:36:03,2022-10-24 08:39:01,2022-10-24 08:41:01,2022-10-24 08:44:17,2022-10-24 08:45:47,2022-10-24 08:46:46,2022-10-24 08:48:16,2022-10-24 08:49:46,2022-10-24 08:50:45,2022-10-24 08:53:32
3,2022-10-24 05:50:31,2022-10-24 05:53:16,2022-10-24 05:55:31,2022-10-24 05:56:46,2022-10-24 05:58:46,2022-10-24 06:00:31,2022-10-24 06:01:31,2022-10-24 06:02:32,2022-10-24 06:05:31,2022-10-24 06:09:47,2022-10-24 06:12:16,2022-10-24 06:13:46,2022-10-24 06:17:32,2022-10-24 06:18:16,2022-10-24 06:19:01,2022-10-24 06:24:16,2022-10-24 06:26:46,2022-10-24 06:27:46,2022-10-24 06:33:16,2022-10-24 06:34:16,2022-10-24 06:36:16,2022-10-24 06:36:46,2022-10-24 06:39:01,2022-10-24 06:39:31,2022-10-24 06:40:31,2022-10-24 06:43:16,2022-10-24 06:45:46,2022-10-24 06:46:46,2022-10-24 06:47:31,2022-10-24 06:49:16,2022-10-24 06:49:46,2022-10-24 06:50:46,2022-10-24 06:54:31,2022-10-24 06:55:46,2022-10-24 06:57:01,2022-10-24 06:58:46,2022-10-24 07:01:02,2022-10-24 07:03:30,2022-10-24 07:06:01,2022-10-24 07:09:16,2022-10-24 07:15:17,2022-10-24 07:20:46,2022-10-24 07:23:01,2022-10-24 07:31:31,2022-10-24 07:36:46,2022-10-24 07:43:16,2022-10-24 07:46:46,2022-10-24 07:49:31,2022-10-24 07:50:16,2022-10-24 07:51:46,2022-10-24 07:54:16,2022-10-24 07:56:01,2022-10-24 08:00:32,2022-10-24 08:08:31,2022-10-24 08:10:15,2022-10-24 08:12:47,2022-10-24 08:15:00,2022-10-24 08:16:15,2022-10-24 08:19:02,2022-10-24 08:22:46,2022-10-24 08:24:46,2022-10-24 08:26:46,2022-10-24 08:32:46,2022-10-24 08:35:15,2022-10-24 08:44:02,2022-10-24 08:46:46,2022-10-24 08:49:01,2022-10-24 08:50:30,2022-10-24 08:51:47,2022-10-24 08:54:16,2022-10-24 08:55:16,2022-10-24 08:56:46,2022-10-24 08:58:31,2022-10-24 09:00:32,2022-10-24 09:01:17,2022-10-24 09:02:02,2022-10-24 09:05:46,2022-10-24 09:09:17,2022-10-24 09:10:04,2022-10-24 09:10:32,2022-10-24 09:12:16,2022-10-24 09:13:30,2022-10-24 09:14:00,2022-10-24 09:14:30,2022-10-24 09:19:35,2022-10-24 09:20:01,2022-10-24 09:21:16,2022-10-24 09:24:30,2022-10-24 09:25:02,2022-10-24 09:25:47,2022-10-24 09:30:16,2022-10-24 09:31:46,2022-10-24 09:34:17,2022-10-24 09:36:02,2022-10-24 09:39:16,2022-10-24 09:40:16,2022-10-24 09:41:00,2022-10-24 09:42:32,2022-10-24 09:44:17,2022-10-24 09:45:47,2022-10-24 09:48:16
4,2022-10-24 06:30:31,2022-10-24 06:34:32,2022-10-24 06:37:31,2022-10-24 06:38:46,2022-10-24 06:40:46,2022-10-24 06:42:16,2022-10-24 06:43:16,2022-10-24 06:44:16,2022-10-24 06:47:31,2022-10-24 06:49:31,2022-10-24 06:51:31,2022-10-24 06:53:16,2022-10-24 06:56:01,2022-10-24 06:57:16,2022-10-24 06:58:01,2022-10-24 07:02:46,2022-10-24 07:03:45,2022-10-24 07:05:46,2022-10-24 07:12:01,2022-10-24 07:13:02,2022-10-24 07:13:47,2022-10-24 07:14:17,2022-10-24 07:15:17,2022-10-24 07:16:02,2022-10-24 07:18:31,2022-10-24 07:22:01,2022-10-24 07:24:46,2022-10-24 07:25:31,2022-10-24 07:26:01,2022-10-24 07:28:16,2022-10-24 07:28:31,2022-10-24 07:29:46,2022-10-24 07:31:31,2022-10-24 07:32:31,2022-10-24 07:34:01,2022-10-24 07:35:32,2022-10-24 07:37:46,2022-10-24 07:40:16,2022-10-24 07:43:46,2022-10-24 07:47:46,2022-10-24 07:53:31,2022-10-24 07:56:31,2022-10-24 08:00:17,2022-10-24 08:06:02,2022-10-24 08:11:15,2022-10-24 08:20:16,2022-10-24 08:25:01,2022-10-24 08:27:31,2022-10-24 08:28:16,2022-10-24 08:29:01,2022-10-24 08:31:46,2022-10-24 08:33:01,2022-10-24 08:37:17,2022-10-24 08:44:02,2022-10-24 08:46:17,2022-10-24 08:48:16,2022-10-24 08:49:46,2022-10-24 08:51:17,2022-10-24 08:54:02,2022-10-24 08:58:01,2022-10-24 09:00:17,2022-10-24 09:02:17,2022-10-24 09:04:46,2022-10-24 09:05:46,2022-10-24 09:08:15,2022-10-24 09:10:47,2022-10-24 09:13:16,2022-10-24 09:14:45,2022-10-24 09:15:45,2022-10-24 09:16:47,2022-10-24 09:17:47,2022-10-24 09:19:35,2022-10-24 09:20:31,2022-10-24 09:22:01,2022-10-24 09:22:16,2022-10-24 09:22:46,2022-10-24 09:24:15,2022-10-24 09:25:17,2022-10-24 09:27:34,2022-10-24 09:27:47,2022-10-24 09:30:03,2022-10-24 09:31:16,2022-10-24 09:31:46,2022-10-24 09:32:31,2022-10-24 09:37:02,2022-10-24 09:39:46,2022-10-24 09:40:31,2022-10-24 09:44:02,2022-10-24 09:44:47,2022-10-24 09:45:16,2022-10-24 09:47:46,2022-10-24 09:49:03,2022-10-24 09:52:00,2022-10-24 09:53:32,2022-10-24 09:57:16,2022-10-24 09:58:46,2022-10-24 10:00:02,2022-10-24 10:02:01,2022-10-24 10:03:31,2022-10-24 10:06:02,2022-10-24 10:09:32
5,2022-10-24 07:40:16,2022-10-24 07:44:16,2022-10-24 07:48:46,2022-10-24 07:49:46,2022-10-24 07:51:46,2022-10-24 07:53:16,2022-10-24 07:54:16,2022-10-24 07:55:31,2022-10-24 07:58:32,2022-10-24 08:02:17,2022-10-24 08:04:16,2022-10-24 08:06:46,2022-10-24 08:09:30,2022-10-24 08:10:30,2022-10-24 08:11:15,2022-10-24 08:16:15,2022-10-24 08:19:02,2022-10-24 08:20:01,2022-10-24 08:26:01,2022-10-24 08:28:31,2022-10-24 08:30:47,2022-10-24 08:31:16,2022-10-24 08:33:01,2022-10-24 08:34:01,2022-10-24 08:36:47,2022-10-24 08:40:01,2022-10-24 08:42:30,2022-10-24 08:43:00,2022-10-24 08:43:45,2022-10-24 08:46:17,2022-10-24 08:47:01,2022-10-24 08:48:01,2022-10-24 08:50:30,2022-10-24 08:51:47,2022-10-24 08:53:02,2022-10-24 08:54:46,2022-10-24 08:57:01,2022-10-24 08:59:30,2022-10-24 09:02:17,2022-10-24 09:03:32,2022-10-24 09:06:46,2022-10-24 09:10:17,2022-10-24 09:13:16,2022-10-24 09:18:32,2022-10-24 09:24:00,2022-10-24 09:29:47,2022-10-24 09:32:01,2022-10-24 09:34:17,2022-10-24 09:35:02,2022-10-24 09:36:17,2022-10-24 09:38:46,2022-10-24 09:39:31,2022-10-24 09:44:17,2022-10-24 09:48:01,2022-10-24 09:49:46,2022-10-24 09:52:15,2022-10-24 09:53:47,2022-10-24 09:55:17,2022-10-24 09:57:31,2022-10-24 09:59:01,2022-10-24 10:01:16,2022-10-24 10:04:15,2022-10-24 10:06:47,2022-10-24 10:08:02,2022-10-24 10:11:31,2022-10-24 10:13:45,2022-10-24 10:16:02,2022-10-24 10:17:32,2022-10-24 10:18:46,2022-10-24 10:20:01,2022-10-24 10:20:31,2022-10-24 10:23:17,2022-10-24 10:24:32,2022-10-24 10:25:17,2022-10-24 10:26:16,2022-10-24 10:26:46,2022-10-24 10:30:31,2022-10-24 10:31:15,2022-10-24 10:31:30,2022-10-24 10:32:02,2022-10-24 10:34:02,2022-10-24 10:35:31,2022-10-24 10:37:01,2022-10-24 10:37:46,2022-10-24 10:43:46,2022-10-24 10:46:16,2022-10-24 10:47:00,2022-10-24 10:51:32,2022-10-24 10:52:16,2022-10-24 10:53:01,2022-10-24 10:54:46,2022-10-24 10:56:30,2022-10-24 10:58:32,2022-10-24 11:01:17,2022-10-24 11:04:01,2022-10-24 11:05:01,2022-10-24 11:06:00,2022-10-24 11:07:32,2022-10-24 11:10:02,2022-10-24 11:11:16,2022-10-24 11:13:46
6,2022-10-24 08:51:32,2022-10-24 08:53:32,2022-10-24 08:56:01,2022-10-24 08:57:01,2022-10-24 08:58:31,2022-10-24 09:00:02,2022-10-24 09:00:47,2022-10-24 09:02:02,2022-10-24 09:04:31,2022-10-24 09:06:46,2022-10-24 09:08:30,2022-10-24 09:10:04,2022-10-24 09:12:16,2022-10-24 09:13:30,2022-10-24 09:14:15,2022-10-24 09:19:02,2022-10-24 09:19:35,2022-10-24 09:22:16,2022-10-24 09:28:17,2022-10-24 09:29:32,2022-10-24 09:31:01,2022-10-24 09:31:46,2022-10-24 09:33:15,2022-10-24 09:33:45,2022-10-24 09:34:32,2022-10-24 09:37:02,2022-10-24 09:40:01,2022-10-24 09:41:00,2022-10-24 09:43:02,2022-10-24 09:46:16,2022-10-24 09:46:31,2022-10-24 09:47:46,2022-10-24 09:50:31,2022-10-24 09:52:00,2022-10-24 09:53:17,2022-10-24 09:55:02,2022-10-24 09:57:16,2022-10-24 09:59:31,2022-10-24 10:02:16,2022-10-24 10:03:31,2022-10-24 10:06:32,2022-10-24 10:08:47,2022-10-24 10:10:46,2022-10-24 10:13:30,2022-10-24 10:14:30,2022-10-24 10:18:02,2022-10-24 10:19:46,2022-10-24 10:23:02,2022-10-24 10:24:02,2022-10-24 10:26:02,2022-10-24 10:26:46,2022-10-24 10:30:01,2022-10-24 10:33:47,2022-10-24 10:38:31,2022-10-24 10:39:45,2022-10-24 10:42:47,2022-10-24 10:44:35,2022-10-24 10:46:01,2022-10-24 10:48:32,2022-10-24 10:50:17,2022-10-24 10:52:31,2022-10-24 10:55:16,2022-10-24 10:57:47,2022-10-24 10:58:47,2022-10-24 11:01:17,2022-10-24 11:03:46,2022-10-24 11:06:15,2022-10-24 11:07:47,2022-10-24 11:09:02,2022-10-24 11:10:47,2022-10-24 11:11:16,2022-10-24 11:14:01,2022-10-24 11:15:15,2022-10-24 11:16:17,2022-10-24 11:17:47,2022-10-24 11:18:32,2022-10-24 11:21:31,2022-10-24 11:23:01,2022-10-24 11:25:15,2022-10-24 11:25:45,2022-10-24 11:27:47,2022-10-24 11:29:02,2022-10-24 11:29:32,2022-10-24 11:30:17,2022-10-24 11:36:17,2022-10-24 11:38:46,2022-10-24 11:39:31,2022-10-24 11:43:02,2022-10-24 11:44:02,2022-10-24 11:44:47,2022-10-24 11:47:31,2022-10-24 11:48:46,2022-10-24 11:51:15,2022-10-24 11:53:47,2022-10-24 11:57:16,2022-10-24 11:58:46,2022-10-24 11:59:31,2022-10-24 12:01:03,2022-10-24 12:02:32,2022-10-24 12:04:46,2022-10-24 12:07:31
7,2022-10-24 09:41:15,2022-10-24 09:43:02,2022-10-24 09:45:02,2022-10-24 09:46:01,2022-10-24 09:48:16,2022-10-24 09:49:31,2022-10-24 09:50:46,2022-10-24 09:51:46,2022-10-24 09:54:47,2022-10-24 09:56:35,2022-10-24 09:59:31,2022-10-24 10:01:31,2022-10-24 10:05:00,2022-10-24 10:05:45,2022-10-24 10:06:17,2022-10-24 10:11:16,2022-10-24 10:12:01,2022-10-24 10:12:31,2022-10-24 10:17:17,2022-10-24 10:18:02,2022-10-24 10:18:46,2022-10-24 10:19:31,2022-10-24 10:20:01,2022-10-24 10:20:31,2022-10-24 10:23:02,2022-10-24 10:23:47,2022-10-24 10:26:32,2022-10-24 10:27:01,2022-10-24 10:27:31,NA,2022-10-24 10:29:31,2022-10-24 10:30:31,2022-10-24 10:32:32,2022-10-24 10:33:18,2022-10-24 10:34:32,2022-10-24 10:36:16,2022-10-24 10:38:16,2022-10-24 10:40:48,2022-10-24 10:43:16,2022-10-24 10:44:16,2022-10-24 10:46:46,2022-10-24 10:49:02,2022-10-24 10:50:47,2022-10-24 10:53:16,2022-10-24 10:54:16,2022-10-24 10:56:15,2022-10-24 10:58:02,2022-10-24 11:00:32,2022-10-24 11:00:47,2022-10-24 11:01:47,2022-10-24 11:03:46,2022-10-24 11:05:01,2022-10-24 11:06:45,2022-10-24 11:09:47,2022-10-24 11:12:01,2022-10-24 11:14:30,2022-10-24 11:16:02,2022-10-24 11:17:32,2022-10-24 11:20:01,2022-10-24 11:21:16,2022-10-24 11:23:16,2022-10-24 11:25:30,2022-10-24 11:28:17,2022-10-24 11:29:32,2022-10-24 11:32:16,2022-10-24 11:34:15,2022-10-24 11:36:32,2022-10-24 11:38:02,2022-10-24 11:39:16,2022-10-24 11:40:16,2022-10-24 11:40:31,2022-10-24 11:42:15,2022-10-24 11:43:32,2022-10-24 11:44:32,2022-10-24 11:45:47,2022-10-24 11:46:17,2022-10-24 11:47:16,2022-10-24 11:48:31,2022-10-24 11:48:46,2022-10-24 11:49:01,2022-10-24 11:50:46,2022-10-24 11:52:02,2022-10-24 11:53:32,2022-10-24 11:54:17,2022-10-24 11:57:31,2022-10-24 12:00:00,2022-10-24 12:01:03,2022-10-24 12:05:46,2022-10-24 12:06:31,2022-10-24 12:07:16,2022-10-24 12:11:17,2022-10-24 12:12:47,2022-10-24 12:14:46,2022-10-24 12:17:16,2022-10-24 12:20:47,2022-10-24 12:22:02,2022-10-24 12:23:01,2022-10-24 12:24:46,2022-10-24 12:26:45,2022-10-24 12:28:17,2022-10-24 12:30:01
8,2022-10-24 10:31:30,2022-10-24 10:33:18,2022-10-24 10:36:31,2022-10-24 10:37:46,2022-10-24 10:39:45,2022-10-24 10:41:48,2022-10-24 10:42:47,2022-10-24 10:44:03,2022-10-24 10:47:30,2022-10-24 10:51:02,2022-10-24 10:55:16,2022-10-24 10:58:17,2022-10-24 11:01:04,2022-10-24 11:02:01,2022-10-24 11:03:01,2022-10-24 11:07:47,2022-10-24 11:08:47,2022-10-24 11:10:47,2022-10-24 11:16:47,2022-10-24 11:17:47,2022-10-24 11:20:01,2022-10-24 11:21:16,2022-10-24 11:22:16,2022-10-24 11:22:46,2022-10-24 11:25:15,2022-10-24 11:26:15,2022-10-24 11:29:47,2022-10-24 11:30:46,2022-10-24 11:31:47,2022-10-24 11:34:31,2022-10-24 11:35:15,2022-10-24 11:36:17,2022-10-24 11:39:01,2022-10-24 11:39:46,2022-10-24 11:41:01,2022-10-24 11:42:45,2022-10-24 11:45:02,2022-10-24 11:47:16,2022-10-24 11:49:46,2022-10-24 11:50:46,2022-10-24 11:53:17,2022-10-24 11:55:02,2022-10-24 11:57:01,2022-10-24 11:59:46,2022-10-24 12:00:45,2022-10-24 12:03:02,2022-10-24 12:04:32,2022-10-24 12:07:31,2022-10-24 12:08:15,2022-10-24 12:09:32,2022-10-24 12:11:02,2022-10-24 12:14:31,2022-10-24 12:17:01,2022-10-24 12:21:32,2022-10-24 12:23:46,2022-10-24 12:26:15,2022-10-24 12:28:02,2022-10-24 12:29:32,2022-10-24 12:32:01,2022-10-24 12:33:16,2022-10-24 12:35:01,2022-10-24 12:37:15,2022-10-24 12:39:47,2022-10-24 12:40:47,2022-10-24 12:43:16,2022-10-24 12:45:15,2022-10-24 12:47:32,2022-10-24 12:49:17,2022-10-24 12:50:32,2022-10-24 12:52:01,2022-10-24 12:52:46,2022-10-24 12:55:30,2022-10-24 12:56:47,2022-10-24 12:58:02,2022-10-24 12:59:16,2022-10-24 12:59:46,2022-10-24 13:01:01,2022-10-24 13:02:16,2022-10-24 13:04:30,2022-10-24 13:05:17,2022-10-24 13:07:17,2022-10-24 13:10:46,2022-10-24 13:11:16,2022-10-24 13:12:01,2022-10-24 13:17:46,2022-10-24 13:20:32,2022-10-24 13:21:16,2022-10-24 13:24:47,2022-10-24 13:25:32,2022-10-24 13:26:17,2022-10-24 13:28:46,2022-10-24 13:30:02,2022-10-24 13:32:46,2022-10-24 13:35:02,2022-10-24 13:38:16,2022-10-24 13:39:16,2022-10-24 13:40:16,2022-10-24 13:41:46,2022-10-24 13:43:30,2022-10-24 13:44:45,2022-10-24 13:47:32
9,2022-10-24 11:21:31,2022-10-24 11:23:31,2022-10-24 11:26:45,2022-10-24 11:28:02,2022-10-24 11:30:17,2022-10-24 11:31:47,2022-10-24 11:32:47,2022-10-24 11:33:46,2022-10-24 11:36:32,2022-10-24 11:39:01,2022-10-24 11:41:31,2022-10-24 11:43:47,2022-10-24 11:46:32,2022-10-24 11:47:16,2022-10-24 11:48:16,2022-10-24 11:53:03,2022-10-24 11:53:47,2022-10-24 11:56:16,2022-10-24 12:02:17,2022-10-24 12:03:17,2022-10-24 12:05:31,2022-10-24 12:06:31,2022-10-24 12:07:46,2022-10-24 12:08:15,2022-10-24 12:10:32,2022-10-24 12:14:46,2022-10-24 12:17:01,2022-10-24 12:17:47,2022-10-24 12:18:00,2022-10-24 12:20:02,2022-10-24 12:20:32,2022-10-24 12:21:47,2022-10-24 12:24:31,2022-10-24 12:25:16,2022-10-24 12:26:45,2022-10-24 12:28:17,2022-10-24 12:30:16,2022-10-24 12:32:31,2022-10-24 12:35:31,2022-10-24 12:36:31,2022-10-24 12:39:02,2022-10-24 12:41:02,2022-10-24 12:42:46,2022-10-24 12:45:15,2022-10-24 12:46:30,2022-10-24 12:48:47,2022-10-24 12:50:32,2022-10-24 12:53:01,2022-10-24 12:53:31,2022-10-24 12:55:30,2022-10-24 12:57:17,2022-10-24 12:59:02,2022-10-24 13:01:01,2022-10-24 13:05:47,2022-10-24 13:07:47,2022-10-24 13:10:16,2022-10-24 13:11:46,2022-10-24 13:13:16,2022-10-24 13:15:49,2022-10-24 13:17:02,2022-10-24 13:19:01,2022-10-24 13:21:16,2022-10-24 13:23:47,2022-10-24 13:24:47,2022-10-24 13:27:17,2022-10-24 13:29:16,2022-10-24 13:31:31,2022-10-24 13:33:15,2022-10-24 13:34:15,2022-10-24 13:35:32,2022-10-24 13:35:47,2022-10-24 13:38:01,2022-10-24 13:39:16,2022-10-24 13:40:16,2022-10-24 13:42:01,2022-10-24 13:42:46,2022-10-24 13:43:30,2022-10-24 13:44:45,2022-10-24 13:47:02,2022-10-24 13:47:17,2022-10-24 13:49:31,2022-10-24 13:50:32,2022-10-24 13:51:01,2022-10-24 13:51:31,2022-10-24 13:56:02,2022-10-24 13:58:47,2022-10-24 13:59:33,2022-10-24 14:03:15,2022-10-24 14:03:45,2022-10-24 14:04:17,2022-10-24 14:07:17,2022-10-24 14:08:32,2022-10-24 14:11:31,2022-10-24 14:13:33,2022-10-24 14:17:17,2022-10-24 14:18:17,2022-10-24 14:19:16,2022-10-24 14:21:01,2022-10-24 14:22:31,2022-10-24 14:23:46,2022-10-24 14:25:47
10,2022-10-24 12:21:17,2022-10-24 12:24:01,2022-10-24 12:26:15,2022-10-24 12:27:17,2022-10-24 12:29:47,2022-10-24 12:31:16,2022-10-24 12:32:31,2022-10-24 12:33:31,2022-10-24 12:37:00,2022-10-24 12:39:17,2022-10-24 12:41:17,2022-10-24 12:43:16,2022-10-24 12:46:00,2022-10-24 12:46:30,2022-10-24 12:47:17,2022-10-24 12:52:46,2022-10-24 12:53:31,2022-10-24 12:55:46,2022-10-24 13:00:01,2022-10-24 13:01:46,2022-10-24 13:02:16,2022-10-24 13:03:15,2022-10-24 13:04:15,2022-10-24 13:04:45,2022-10-24 13:07:17,2022-10-24 13:08:17,2022-10-24 13:10:16,2022-10-24 13:11:16,2022-10-24 13:12:01,2022-10-24 13:13:45,2022-10-24 13:14:18,2022-10-24 13:15:17,2022-10-24 13:17:46,2022-10-24 13:18:31,2022-10-24 13:20:01,2022-10-24 13:21:31,2022-10-24 13:23:34,2022-10-24 13:26:17,2022-10-24 13:28:46,2022-10-24 13:30:02,2022-10-24 13:32:46,2022-10-24 13:34:31,2022-10-24 13:36:17,2022-10-24 13:38:31,2022-10-24 13:39:46,2022-10-24 13:41:46,2022-10-24 13:43:16,2022-10-24 13:45:47,2022-10-24 13:46:32,2022-10-24 13:47:02,2022-10-24 13:48:46,2022-10-24 13:50:02,2022-10-24 13:52:01,2022-10-24 13:56:47,2022-10-24 13:59:01,2022-10-24 14:02:01,2022-10-24 14:03:45,2022-10-24 14:05:02,2022-10-24 14:07:32,2022-10-24 14:08:32,2022-10-24 14:10:16,2022-10-24 14:12:16,2022-10-24 14:14:46,2022-10-24 14:15:45,2022-10-24 14:18:17,2022-10-24 14:20:16,2022-10-24 14:22:31,2022-10-24 14:24:15,2022-10-24 14:25:17,2022-10-24 14:26:17,2022-10-24 14:26:32,2022-10-24 14:28:46,2022-10-24 14:30:31,2022-10-24 14:34:02,2022-10-24 14:35:47,2022-10-24 14:36:17,2022-10-24 14:39:31,2022-10-24 14:40:30,2022-10-24 14:41:32,2022-10-24 14:43:45,2022-10-24 14:44:02,2022-10-24 14:47:02,2022-10-24 14:48:01,2022-10-24 14:49:01,2022-10-24 14:52:15,2022-10-24 14:55:02,2022-10-24 14:55:47,2022-10-24 14:59:16,2022-10-24 15:00:01,2022-10-24 15:01:01,2022-10-24 15:03:17,2022-10-24 15:05:02,2022-10-24 15:07:47,2022-10-24 15:09:46,2022-10-24 15:13:02,2022-10-24 15:14:02,2022-10-24 15:15:02,2022-10-24 15:16:46,2022-10-24 15:18:31,2022-10-24 15:19:46,2022-10-24 15:21:47
