,districtCd,stationId,stationName,stationSeq,x,y
0,2,201000448,능실마을21단지.수원여대입구,1,126.9620167,37.2542
1,2,201000436,능실초등학교.힐스테이트호매실,2,126.9571833,37.26035
2,2,201000357,수원은혜교회.한양수자인파크원아파트,3,126.95395,37.2659833
3,2,201000244,LG빌리지2차.호매실역서희스타힐스,4,126.9381167,37.2730833
4,2,201000149,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,5,126.947,37.2737667
5,2,201000359,홈플러스서수원점,6,126.9555667,37.2747333
6,2,201000029,서수원버스터미널,7,126.9707,37.2834
7,2,277103317,월암IC(경유),8,126.96215,37.3026833
8,2,277103315,의왕신부곡IC(경유),9,126.9683,37.33245
9,2,277103221,의왕터널진입(경유),10,126.9984167,37.3589167
10,2,277103159,학의JC(경유),11,127.0015833,37.38705
11,2,277103200,과천터널진입(경유),12,127.00175,37.40185
12,2,277103203,과천IC(경유),13,126.99665,37.4216833
13,2,277103312,경마IC(경유),14,127.0056167,37.4478167
14,2,277102784,우면산터널TG(경유),15,127.0189833,37.4632667
15,2,277102785,예술의전당앞(경유),16,127.0129667,37.4812667
16,2,121000520,서초아트자이아파트,17,127.0111333,37.4852
17,2,121000060,서초역1번출구,18,127.0086833,37.4919667
18,2,121000929,교대역,19,127.01565,37.4940833
19,2,121000921,강남역나라빌딩앞,20,127.0282667,37.4958833
20,2,121000971,양재역커피빈앞,21,127.0353333,37.4828833
21,2,121000220,시민의숲.양재꽃시장,22,127.0384333,37.4707333
