,districtCd,stationId,stationName,stationSeq,x,y
0,2,123000611,잠실광역환승센터,1,127.1006667,37.51235
1,2,277102843,잠실역환승센터출구(경유),2,127.1025,37.5100167
2,2,277102180,석촌역교차로(경유),3,127.10385,37.5085167
3,2,123000004,석촌호수.한솔병원(중),4,127.1052833,37.5071833
4,2,123000008,송파역(중),5,127.1112,37.5006667
5,2,123000010,가락시장.가락시장역(중),6,127.11655,37.4948333
6,2,123000014,문정법조단지.건영아파트(중),7,127.1238,37.48315
7,2,123000016,장지역.가든파이브(중),8,127.1254,37.4799833
8,2,123000343,복정역3번출구,9,127.12405,37.4697167
9,2,204000060,판교제2테크노밸리,10,127.09935,37.4116833
10,2,206000542,삼평교,11,127.1041667,37.4039167
11,2,206000543,금토천교,12,127.10555,37.4012
12,2,277104185,판교출입(경유),13,127.1002833,37.3923667
13,2,277103385,서울TG(경유),14,127.1026,37.36535
14,2,277103442,죽전(경유),15,127.10315,37.3266
15,2,277103360,신갈JC(경유),16,127.10345,37.2904333
16,2,277103362,수원신갈IC(경유),17,127.1035333,37.2668167
17,2,277101884,기흥동탄TG(경유),18,127.0917,37.2169833
18,2,233001282,예당마을.롯데캐슬(중),19,127.073,37.21175
19,2,233001216,한빛마을.석우중학교(중),20,127.0692667,37.2082167
20,2,233001218,메타폴리스(중),21,127.0674833,37.2042667
21,2,233001220,다은마을(중),22,127.06735,37.2003833
22,2,233001452,새강마을.휴먼시아,23,127.0692,37.1956667
23,2,233001713,나루마을.한화꿈에그린2차,24,127.07455,37.1913167
