"line","plateNo","dispatch","timestamp"
"1000","경기76아4640",1,"063038"
"1002","경기76아4653",1,"043400"
"1002","경기76아4654",2,"050131"
"1002","경기76아1194",3,"055031"
"1002","경기76아1193",4,"063032"
"1002","경기76아1131",5,"074031"
"1002","경기76아4653",6,"084516"
"1002","경기76아4654",7,"094117"
"1002","경기76아1194",8,"103102"
"1002","경기76아1193",9,"112345"
"1002","경기76아1131",10,"122201"
"1002","경기76아4653",11,"131116"
"1002","경기76아4654",12,"140117"
"1002","경기76아1194",13,"145103"
"1002","경기76아1193",14,"153201"
"1002","경기76아1131",15,"162117"
"1002","경기76아4653",16,"172116"
"1002","경기76아4654",17,"183117"
"1002","경기76아1194",18,"192101"
"1002","경기76아1193",19,"200101"
"1002","경기76아1131",20,"211101"
"1008","경기76아1132",1,"054018"
"1008","경기76아4649",2,"060048"
"1008","경기76아4651",3,"070033"
"1008","경기76아4652",4,"073133"
"1008","경기76아1122",5,"081148"
"1008","경기76아1123",6,"084102"
"1008","경기76아1132",7,"092032"
"1008","경기76아4649",8,"100033"
"1008","경기76아1192",9,"104403"
"1008","경기76아4651",10,"112247"
"1008","경기76아4652",11,"120034"
"1008","경기76아1122",12,"123003"
"1008","경기76아1123",13,"131118"
"1008","경기76아1132",14,"135033"
"1008","경기76아4649",15,"143104"
"1008","경기76아1192",16,"151103"
"1008","경기76아4651",17,"155034"
"1008","경기76아4652",18,"163135"
"1008","경기76아1122",19,"170203"
"1008","경기76아1123",20,"173202"
"1008","경기76아1132",21,"180034"
"1008","경기76아4649",22,"184203"
"1008","경기76아1192",23,"192203"
"1008","경기76아4651",24,"200033"
"1008","경기76아4652",25,"204118"
"1008","경기76아1122",26,"212133"
"1008","경기76아1123",27,"220033"
"1008","경기76아1132",28,"224133"
"400A","경기70바2578",1,"053720"
"400A","경기70바2578",2,"053806"
"H120B","경기76아4715",1,"083016"
"H120B","경기76아4717",2,"094046"
"H120B","경기76아4716",3,"115059"
"H404","경기76아1416",1,"071254"
"H404","경기76아1417",1,"185254"
"H404","경기76아1437",1,"120224"
"H404","경기76아4702",1,"060139"
"H404","경기76아4703",1,"074239"
"H404","경기76아4725",1,"064140"
"H65","경기76아3534",1,"050211"
"H65","경기76아3537",2,"054126"
"H65","경기76아3939",3,"063227"
"H65","경기76아3545",4,"072029"
"H65","경기76아3940",5,"081111"
"H65","경기76아3538",6,"090111"
"H65","경기76아3573",7,"095126"
"H65","경기76아3534",8,"105211"
"H65","경기76아3537",9,"115127"
"H65","경기76아3939",10,"125142"
"H65","경기76아3545",11,"135110"
"H65","경기76아3940",12,"145112"
"H65","경기76아3538",13,"154126"
"H65","경기76아3573",14,"163111"
"H65","경기76아3534",15,"172241"
"H65","경기76아3537",16,"181156"
"H65","경기76아3939",17,"191125"
"H65","경기76아3545",18,"201057"
"H65","경기76아3940",19,"211226"
"H67","경기76아3362",1,"050213"
"H67","경기76아3361",2,"054143"
"H67","경기76아3571",3,"063059"
"H67","경기76아3570",4,"072058"
"H67","경기76아3552",5,"081058"
"H67","경기76아3539",6,"090143"
"H67","경기76아3572",7,"100213"
"H67","경기76아3362",8,"110114"
"H67","경기76아3361",9,"120159"
"H67","경기76아3571",10,"125114"
"H67","경기76아3570",11,"134058"
"H67","경기76아3552",12,"143159"
"H67","경기76아3539",13,"152359"
"H67","경기76아3572",14,"161129"
"H67","경기76아3362",15,"171128"
"H67","경기76아3361",16,"181213"
"H67","경기76아3571",17,"191127"
"H67","경기76아3570",18,"201114"
"H67","경기76아3552",19,"211158"
