endBus,lowPlate,plateNo,plateType,remainSeatCnt,routeId,stationId,stationSeq,querytime
0,0,경기76아1123,3,49,233000125,233000191,10,20221025-051718
0,0,경기76아1123,3,49,233000125,233000191,10,20221025-051733
0,0,경기76아1123,3,49,233000125,233000190,11,20221025-051748
0,0,경기76아1123,3,49,233000125,233000190,11,20221025-051803
0,0,경기76아1123,3,49,233000125,233000190,11,20221025-051818
0,0,경기76아1123,3,49,233000125,233000190,11,20221025-051833
0,0,경기76아1123,3,49,233000125,233000190,11,20221025-051848
0,0,경기76아1123,3,49,233000125,233000190,11,20221025-051903
0,0,경기76아1123,3,49,233000125,233000190,11,20221025-051918
0,0,경기76아1123,3,49,233000125,233000189,12,20221025-051933
0,0,경기76아1123,3,49,233000125,233000189,12,20221025-051948
0,0,경기76아1123,3,49,233000125,233001943,13,20221025-052005
0,0,경기76아1123,3,49,233000125,233001943,13,20221025-052018
0,0,경기76아1123,3,48,233000125,233000188,14,20221025-052033
0,0,경기76아1123,3,48,233000125,233000188,14,20221025-052048
0,0,경기76아1123,3,48,233000125,233000188,14,20221025-052103
0,0,경기76아1123,3,48,233000125,233000188,14,20221025-052118
0,0,경기76아1123,3,48,233000125,233000188,14,20221025-052133
0,0,경기76아1123,3,48,233000125,233000188,14,20221025-052148
0,0,경기76아1123,3,48,233000125,233000188,14,20221025-052203
0,0,경기76아1123,3,48,233000125,233000188,14,20221025-052218
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052233
0,0,경기76아1123,3,48,233000125,233001318,15,20221025-052233
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052248
0,0,경기76아1123,3,48,233000125,233001318,15,20221025-052248
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052303
0,0,경기76아1123,3,48,233000125,233001318,15,20221025-052303
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052318
0,0,경기76아1123,3,48,233000125,233001318,15,20221025-052318
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052333
0,0,경기76아1123,3,48,233000125,233001318,15,20221025-052333
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052348
0,0,경기76아1123,3,48,233000125,233001318,15,20221025-052348
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052403
0,0,경기76아1123,3,48,233000125,233000730,16,20221025-052403
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052418
0,0,경기76아1123,3,48,233000125,233000730,16,20221025-052418
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052433
0,0,경기76아1123,3,48,233000125,233000730,16,20221025-052433
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052448
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052448
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052503
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052503
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052518
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052518
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052533
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052533
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052548
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052548
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052603
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052603
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052618
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052618
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052633
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052633
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052648
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052648
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052703
0,0,경기76아1123,3,48,233000125,233000729,17,20221025-052703
0,0,경기76아1122,3,49,233000125,233000712,40,20221025-052718
0,0,경기76아1123,3,48,233000125,233000728,18,20221025-052718
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052733
0,0,경기76아1123,3,48,233000125,233001404,19,20221025-052733
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052748
0,0,경기76아1123,3,48,233000125,233000727,20,20221025-052748
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052803
0,0,경기76아1123,3,48,233000125,233000727,20,20221025-052803
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052818
0,0,경기76아1123,3,48,233000125,233000727,20,20221025-052818
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052833
0,0,경기76아1123,3,48,233000125,233000727,20,20221025-052833
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052848
0,0,경기76아1123,3,48,233000125,233000727,20,20221025-052848
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052903
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-052903
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052918
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-052918
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052933
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-052933
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-052948
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-052948
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-053003
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-053003
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-053018
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-053018
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-053033
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-053033
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-053048
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-053048
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-053103
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-053103
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-053118
0,0,경기76아1123,3,48,233000125,233000726,21,20221025-053118
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-053133
0,0,경기76아1123,3,48,233000125,233000725,22,20221025-053133
0,0,경기76아1122,3,49,233000125,277103520,41,20221025-053148
0,0,경기76아1123,3,48,233000125,233002118,23,20221025-053148
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053203
0,0,경기76아1123,3,48,233000125,233002118,23,20221025-053203
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053218
0,0,경기76아1123,3,48,233000125,233002118,23,20221025-053218
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053233
0,0,경기76아1123,3,48,233000125,233002118,23,20221025-053233
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053248
0,0,경기76아1123,3,48,233000125,233002118,23,20221025-053248
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053303
0,0,경기76아1123,3,48,233000125,233000724,24,20221025-053303
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053318
0,0,경기76아1123,3,48,233000125,233000724,24,20221025-053318
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053333
0,0,경기76아1123,3,48,233000125,233000723,25,20221025-053333
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053348
0,0,경기76아1123,3,48,233000125,233000723,25,20221025-053348
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053403
0,0,경기76아1123,3,46,233000125,233000723,25,20221025-053403
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053418
0,0,경기76아1123,3,46,233000125,233000722,26,20221025-053418
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053433
0,0,경기76아1123,3,46,233000125,233000722,26,20221025-053433
0,0,경기76아1122,3,49,233000125,277103317,43,20221025-053448
0,0,경기76아1123,3,46,233000125,233000722,26,20221025-053448
0,0,경기76아1122,3,49,233000125,277103315,44,20221025-053503
0,0,경기76아1123,3,46,233000125,233000722,26,20221025-053503
0,0,경기76아1122,3,49,233000125,277103315,44,20221025-053518
0,0,경기76아1123,3,46,233000125,233000722,26,20221025-053518
0,0,경기76아1122,3,49,233000125,277103315,44,20221025-053533
0,0,경기76아1123,3,46,233000125,233000721,27,20221025-053533
0,0,경기76아1122,3,49,233000125,277103315,44,20221025-053548
0,0,경기76아1123,3,45,233000125,233000721,27,20221025-053548
0,0,경기76아1122,3,49,233000125,277103315,44,20221025-053603
0,0,경기76아1123,3,45,233000125,233000721,27,20221025-053603
0,0,경기76아1122,3,49,233000125,277103315,44,20221025-053618
0,0,경기76아1123,3,45,233000125,233000721,27,20221025-053618
0,0,경기76아1122,3,49,233000125,277103315,44,20221025-053633
0,0,경기76아1123,3,45,233000125,233000721,27,20221025-053633
0,0,경기76아1122,3,49,233000125,277103315,44,20221025-053648
0,0,경기76아1123,3,45,233000125,233000721,27,20221025-053648
0,0,경기76아1122,3,49,233000125,226000039,45,20221025-053703
0,0,경기76아1123,3,45,233000125,233000720,28,20221025-053703
0,0,경기76아1122,3,49,233000125,226000039,45,20221025-053718
0,0,경기76아1123,3,45,233000125,233000720,28,20221025-053718
0,0,경기76아1122,3,49,233000125,226000039,45,20221025-053733
0,0,경기76아1123,3,45,233000125,233000720,28,20221025-053733
0,0,경기76아1122,3,49,233000125,226000039,45,20221025-053748
0,0,경기76아1123,3,45,233000125,233000720,28,20221025-053748
0,0,경기76아1122,3,49,233000125,226000039,45,20221025-053804
0,0,경기76아1123,3,45,233000125,233000720,28,20221025-053804
0,0,경기76아1122,3,49,233000125,226000039,45,20221025-053818
0,0,경기76아1123,3,45,233000125,233000720,28,20221025-053818
0,0,경기76아1122,3,49,233000125,226000039,45,20221025-053833
0,0,경기76아1123,3,45,233000125,233000720,28,20221025-053833
0,0,경기76아1122,3,49,233000125,226000039,45,20221025-053849
0,0,경기76아1123,3,45,233000125,233000719,29,20221025-053849
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-053903
0,0,경기76아1123,3,45,233000125,233000719,29,20221025-053903
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-053918
0,0,경기76아1123,3,45,233000125,233000718,30,20221025-053918
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-053933
0,0,경기76아1123,3,45,233000125,233000718,30,20221025-053933
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-053948
0,0,경기76아1123,3,45,233000125,233000718,30,20221025-053948
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054003
0,0,경기76아1123,3,45,233000125,233000718,30,20221025-054003
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054018
0,0,경기76아1123,3,45,233000125,233000842,31,20221025-054018
0,0,경기76아1132,3,49,233000125,233002226,1,20221025-054018
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054033
0,0,경기76아1132,3,49,233000125,233002226,1,20221025-054033
0,0,경기76아1123,3,47,233000125,233000842,31,20221025-054033
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054048
0,0,경기76아1123,3,47,233000125,233000842,31,20221025-054048
0,0,경기76아1132,3,49,233000125,233002226,1,20221025-054048
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054103
0,0,경기76아1123,3,47,233000125,233000842,31,20221025-054103
0,0,경기76아1132,3,49,233000125,277102459,2,20221025-054103
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054118
0,0,경기76아1132,3,49,233000125,277102459,2,20221025-054118
0,0,경기76아1123,3,47,233000125,233002149,32,20221025-054118
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054133
0,0,경기76아1132,3,49,233000125,277102459,2,20221025-054133
0,0,경기76아1123,3,47,233000125,233002149,32,20221025-054133
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054148
0,0,경기76아1123,3,47,233000125,233002149,32,20221025-054148
0,0,경기76아1132,3,49,233000125,277102459,2,20221025-054148
0,0,경기76아1122,3,49,233000125,277103221,46,20221025-054203
0,0,경기76아1132,3,49,233000125,277102459,2,20221025-054203
0,0,경기76아1123,3,47,233000125,233000717,33,20221025-054203
0,0,경기76아1122,3,49,233000125,277103159,47,20221025-054218
0,0,경기76아1132,3,49,233000125,233002221,3,20221025-054218
0,0,경기76아1123,3,47,233000125,233000716,34,20221025-054218
0,0,경기76아1122,3,49,233000125,277103159,47,20221025-054233
0,0,경기76아1132,3,49,233000125,233002221,3,20221025-054233
0,0,경기76아1123,3,47,233000125,233000716,34,20221025-054233
0,0,경기76아1122,3,49,233000125,277103159,47,20221025-054248
0,0,경기76아1132,3,49,233000125,233002221,3,20221025-054248
