endBus,lowPlate,plateNo,plateType,remainSeatCnt,routeId,stationId,stationSeq,querytime
0,0,경기76아3940,3,-1,233000275,233003122,1,20221023-050211
0,0,경기76아3940,3,-1,233000275,233003122,1,20221023-050226
0,0,경기76아3940,3,-1,233000275,233003122,1,20221023-050241
0,0,경기76아3940,3,-1,233000275,233003122,1,20221023-050256
0,0,경기76아3940,3,-1,233000275,233003122,1,20221023-050311
0,0,경기76아3940,3,-1,233000275,233003122,1,20221023-050326
0,0,경기76아3940,3,-1,233000275,233003122,1,20221023-050341
0,0,경기76아3940,3,-1,233000275,233003122,1,20221023-050356
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050411
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050426
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050441
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050456
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050511
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050526
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050541
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050556
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050611
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050626
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050641
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050656
0,0,경기76아3940,3,-1,233000275,233003132,2,20221023-050711
0,0,경기76아3940,3,-1,233000275,233003127,3,20221023-050726
0,0,경기76아3940,3,-1,233000275,233003127,3,20221023-050741
0,0,경기76아3940,3,-1,233000275,233003127,3,20221023-050756
0,0,경기76아3940,3,-1,233000275,233003128,4,20221023-050811
0,0,경기76아3940,3,-1,233000275,233003128,4,20221023-050826
0,0,경기76아3940,3,-1,233000275,233003128,4,20221023-050841
0,0,경기76아3940,3,-1,233000275,233003128,4,20221023-050856
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-050911
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-050926
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-050941
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-050956
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-051011
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-051026
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-051041
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-051056
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-051111
0,0,경기76아3940,3,-1,233000275,233003093,5,20221023-051126
0,0,경기76아3940,3,-1,233000275,233000162,6,20221023-051141
0,0,경기76아3940,3,-1,233000275,233000162,6,20221023-051156
0,0,경기76아3940,3,-1,233000275,233000162,6,20221023-051211
0,0,경기76아3940,3,-1,233000275,233000162,6,20221023-051226
0,0,경기76아3940,3,-1,233000275,233000161,7,20221023-051241
0,0,경기76아3940,3,-1,233000275,233000161,7,20221023-051256
0,0,경기76아3940,3,-1,233000275,233000161,7,20221023-051311
0,0,경기76아3940,3,-1,233000275,233000161,7,20221023-051326
0,0,경기76아3940,3,-1,233000275,233000161,7,20221023-051341
0,0,경기76아3940,3,-1,233000275,233000995,8,20221023-051356
0,0,경기76아3940,3,-1,233000275,233000995,8,20221023-051411
0,0,경기76아3940,3,-1,233000275,233000995,8,20221023-051426
0,0,경기76아3940,3,-1,233000275,233000995,8,20221023-051441
0,0,경기76아3940,3,-1,233000275,233000995,8,20221023-051456
0,0,경기76아3940,3,-1,233000275,233000995,8,20221023-051511
0,0,경기76아3940,3,-1,233000275,233000995,8,20221023-051526
0,0,경기76아3940,3,-1,233000275,233000999,9,20221023-051541
0,0,경기76아3940,3,-1,233000275,233000999,9,20221023-051556
0,0,경기76아3940,3,-1,233000275,233000999,9,20221023-051611
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051626
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051641
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051656
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051711
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051726
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051741
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051756
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051812
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051827
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051842
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051857
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051912
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051927
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051942
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-051957
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-052012
0,0,경기76아3940,3,-1,233000275,233000978,10,20221023-052026
